Genre,Publisher,Rating,Greatest_Sales
Fighting,Sony Computer Entertainment,?,JP
Sports,Electronic Arts,E,EU
Simulation,Electronic Arts,T,EU
Shooter,Electronic Arts,?,EU
Sports,Nintendo,?,JP
Fighting,THQ,?,NA
Fighting,Nintendo,?,NA
Role-Playing,Enix Corporation,?,JP
Action,Sony Computer Entertainment,M,Other
Adventure,Take-Two Interactive,M,Other
Action,Atari,T,NA
Role-Playing,Square Enix,T,JP
Misc,MTV Games,T,NA
Simulation,Sony Computer Entertainment Europe,E,NA
Simulation,Nintendo,E,JP
Simulation,Nintendo,E,JP
Sports,Electronic Arts,E,Other
Misc,Nintendo,E,JP
Adventure,Disney Interactive Studios,E,NA
Action,Activision,E,EU
Action,Nintendo,E,JP
Racing,Electronic Arts,E,NA
Racing,Nintendo,?,NA
Platform,Sega,E,EU
Role-Playing,Bethesda Softworks,M,Other
Role-Playing,Enix Corporation,?,JP
Misc,Nintendo,E,JP
Misc,Nintendo,E,JP
Role-Playing,Ubisoft,M,NA
Shooter,Capcom,M,JP
Role-Playing,Electronic Arts,M,NA
Fighting,Atari,T,JP
Sports,Electronic Arts,E,NA
Sports,Namco Bandai Games,?,JP
Platform,Nintendo,?,JP
Simulation,Electronic Arts,T,EU
Action,Warner Bros. Interactive Entertainment,E10+,NA
Action,Warner Bros. Interactive Entertainment,E10+,NA
Shooter,Take-Two Interactive,M,NA
Action,Activision,E10+,NA
Role-Playing,Electronic Arts,M,NA
Action,THQ,M,NA
Adventure,Sony Computer Entertainment,M,Other
Platform,Ubisoft,?,EU
Action,Ubisoft,T,NA
Sports,Electronic Arts,E,EU
Fighting,Nintendo,?,NA
Sports,THQ,?,EU
Sports,Take-Two Interactive,E,NA
Shooter,Sony Computer Entertainment,M,Other
Shooter,Ubisoft,M,EU
Platform,Disney Interactive Studios,E,NA
Fighting,Atari,T,Other
Fighting,THQ,?,Other
Shooter,Nintendo,?,JP
Misc,Electronic Arts,T,EU
Sports,Konami Digital Entertainment,E,JP
Action,Capcom,M,JP
Action,Warner Bros. Interactive Entertainment,M,EU
Role-Playing,Electronic Arts,T,NA
Shooter,Electronic Arts,M,NA
Platform,Sega,E,EU
Action,Eidos Interactive,M,EU
Shooter,Electronic Arts,M,Other
Racing,Nintendo,?,NA
Shooter,Sony Computer Entertainment,M,NA
Fighting,THQ,?,EU
Fighting,Capcom,T,NA
Puzzle,Atari,E,NA
Action,Sony Computer Entertainment,T,NA
Shooter,Activision,M,NA
Sports,Electronic Arts,E,EU
Platform,Nintendo,E,JP
Platform,Nintendo,?,JP
Role-Playing,Microsoft Game Studios,M,NA
Misc,Sega,E,EU
Sports,Konami Digital Entertainment,E,JP
Sports,Sega,E10+,NA
Sports,Sony Computer Entertainment,E,JP
Simulation,505 Games,E,EU
Puzzle,Nintendo,E10+,JP
Shooter,Activision,T,EU
Shooter,Sony Computer Entertainment,T,NA
Simulation,Ubisoft,E,EU
Racing,Codemasters,?,EU
Fighting,Warner Bros. Interactive Entertainment,M,Other
Sports,Electronic Arts,E,NA
Role-Playing,Ubisoft,T,NA
Action,Ubisoft,M,EU
Platform,Nintendo,?,JP
Racing,Nintendo,?,JP
Strategy,Virgin Interactive,?,EU
Fighting,Warner Bros. Interactive Entertainment,M,NA
Sports,Electronic Arts,E,NA
Fighting,THQ,?,EU
Shooter,Take-Two Interactive,M,NA
Shooter,Nintendo,T,NA
Action,Ubisoft,M,NA
Action,THQ,E,NA
Sports,Majesco Entertainment,T,NA
Adventure,Red Or,?,EU
Shooter,Electronic Arts,M,Other
Racing,Electronic Arts,?,Other
Simulation,Ubisoft,E,EU
Action,Sony Computer Entertainment,T,Other
Fighting,THQ,?,EU
Sports,Sony Computer Entertainment,?,JP
Platform,Sony Computer Entertainment,?,NA
Fighting,THQ,?,EU
Role-Playing,Enix Corporation,?,JP
Fighting,GT Interactive,?,NA
Role-Playing,Nintendo,?,JP
Sports,Electronic Arts,E,NA
Platform,Sony Computer Entertainment,T,NA
Platform,Sony Computer Entertainment,?,NA
Shooter,Sony Computer Entertainment,M,Other
Racing,Electronic Arts,E10+,Other
Action,Activision,E10+,EU
Shooter,Electronic Arts,M,EU
Simulation,Electronic Arts,T,EU
Action,LucasArts,T,NA
Action,THQ,M,EU
Platform,Nintendo,E,JP
Shooter,Atari,?,NA
Misc,Nintendo,?,JP
Fighting,Namco Bandai Games,T,Other
Strategy,Nintendo,?,JP
Platform,Sega,E,EU
Action,Nintendo,?,JP
Sports,Electronic Arts,E,EU
Adventure,Take-Two Interactive,M,NA
Action,Nintendo,E,NA
Action,Virgin Interactive,M,JP
Misc,Nintendo,?,JP
Shooter,Activision,T,NA
Sports,Electronic Arts,E,NA
Action,LucasArts,E10+,NA
Shooter,Sony Computer Entertainment,M,EU
Sports,Electronic Arts,E,NA
Role-Playing,Level 5,?,JP
Racing,Electronic Arts,T,EU
Puzzle,Nintendo,E10+,JP
Fighting,Arena Entertainment,?,NA
Puzzle,Nintendo,E,NA
Shooter,Activision,T,NA
Shooter,Electronic Arts,T,EU
Sports,Electronic Arts,T,NA
Role-Playing,Microsoft Game Studios,M,NA
Misc,Activision,T,NA
Action,Disney Interactive Studios,E,NA
Action,Ubisoft,T,EU
Platform,Nintendo,?,JP
Racing,Electronic Arts,E,Other
Action,Nintendo,?,NA
Shooter,Electronic Arts,T,Other
Role-Playing,Square Enix,T,JP
Racing,Take-Two Interactive,T,NA
Strategy,Microsoft Game Studios,T,NA
Sports,Take-Two Interactive,E,NA
Sports,Sega,E,NA
Sports,Electronic Arts,E,EU
Shooter,Electronic Arts,M,NA
Fighting,Sony Computer Entertainment,?,Other
Action,Electronic Arts,E,EU
Action,Sega,?,NA
Action,Sony Computer Entertainment,M,NA
Action,LucasArts,E10+,NA
Sports,Electronic Arts,E,NA
Sports,Electronic Arts,E,EU
Sports,Nintendo,E10+,EU
Simulation,Nintendo,E,JP
Platform,Nintendo,?,JP
Fighting,THQ,T,NA
Action,Sony Computer Entertainment,M,Other
Platform,Sony Computer Entertainment,?,NA
Sports,Electronic Arts,E,NA
Shooter,Activision,T,Other
Role-Playing,Capcom,T,JP
Sports,Electronic Arts,E,NA
Action,Take-Two Interactive,?,EU
Platform,Sony Computer Entertainment,?,Other
Platform,Sega,E,NA
